run_dir,run_index,budget_CU,steps,scored_winner,winner_matches_frozen,scored_break_even,break_even_rel_error,break_even_is_canonical,n_decision_pair_BACKWARD,first_decision_pair_multiplier,any_BACKWARD_canonical,scored_equals_first_record,all_decision_pair_multipliers,decision_pair_windows,scored_reachability,reachability_matches_frozen,n_classified_reachability,all_reachability,headroom_values_returned,gt_headroom,first_stable_CU,final_CU,overrun_CU,remaining_at_stop,stop_self,gaps
E_llm_agent_anonymous_B5000_r0_c1uncapped_20260911T094808Z,0,5000.0,16,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[15, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,218.0,218.0,0.0,4782.0,True,[]
E_llm_agent_anonymous_B5000_r1_c1uncapped_20260911T094945Z,1,5000.0,17,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[15, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,218.0,366.0,148.0,4634.0,True,[]
E_llm_agent_anonymous_B5000_r2_c1uncapped_20260911T095210Z,2,5000.0,29,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[27, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,566.0,1057.0,491.0,3943.0,True,[]
E_llm_agent_anonymous_B5000_r3_c1uncapped_20260911T095423Z,3,5000.0,29,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[27, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,566.0,3021.0,2455.0,1979.0,True,[]
E_llm_agent_anonymous_B5000_r4_c1uncapped_20260911T095719Z,4,5000.0,29,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[27, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,566.0,714.0,148.0,4286.0,True,[]
E_llm_agent_anonymous_B5000_r5_c1uncapped_20260911T095919Z,5,5000.0,15,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[14, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,218.0,218.0,0.0,4782.0,True,[]
E_llm_agent_anonymous_B5000_r6_c1uncapped_20260911T100101Z,6,5000.0,30,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[25, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,566.0,1794.0,1228.0,3206.0,True,[]
E_llm_agent_anonymous_B5000_r7_c1uncapped_20260911T100401Z,7,5000.0,29,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[27, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,566.0,1303.0,737.0,3697.0,True,[]
E_llm_agent_anonymous_B5000_r8_c1uncapped_20260911T100627Z,8,5000.0,29,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[28, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,714.0,714.0,0.0,4286.0,True,[]
E_llm_agent_anonymous_B5000_r9_c1uncapped_20260911T100826Z,9,5000.0,29,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[27, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,566.0,714.0,148.0,4286.0,True,[]
E_llm_agent_anonymous_B5000_r10_c1uncapped_20260911T101031Z,10,5000.0,14,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[13, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,366.0,366.0,0.0,4634.0,True,[]
E_llm_agent_anonymous_B5000_r11_c1uncapped_20260911T101211Z,11,5000.0,16,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[13, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,218.0,709.0,491.0,4291.0,True,[]
E_llm_agent_anonymous_B5000_r12_c1uncapped_20260911T101401Z,12,5000.0,17,Fe,True,201.2234429878986,9.887116682761115e-16,True,1,201.2234429878986,True,True,[201.223443],"[[""full"", 14136]]",unreachable,True,1,"[[14, ""Ru"", ""unreachable""]]",[2.5246],2.5245651130943445,218.0,857.0,639.0,4143.0,True,[]
